Vam,Vbm,Vcm,Iam,Ibm,Icm,Vap,Vbp,Vcp,Iap,Ibp,Icp,Fault,Location
5.49427E-06,0.874909468,0.883699124,0.699300277,0.169703669,0.175652514,-81.72974223,-122.2892199,118.2605806,-81.72235554,-33.72082296,-150.9905189,1,0
5.49452E-06,0.874545559,0.883055449,0.699319597,0.169724417,0.175645809,-81.72844164,-122.3219001,118.2632933,-81.72117393,-33.72758964,-150.9987982,1,0
5.49452E-06,0.874052093,0.882233932,0.699336234,0.169789555,0.175629428,-81.72726678,-122.3638762,118.2695301,-81.72014748,-33.74530693,-151.025982,1,0
5.49502E-06,0.873922894,0.881998674,0.699353705,0.169877889,0.175600815,-81.72647865,-122.3751102,118.2698586,-81.71944771,-33.77169208,-151.0638489,1,0
5.49528E-06,0.874206307,0.882347979,0.699371902,0.169956434,0.175566821,-81.72607989,-122.3571308,118.2609888,-81.71907716,-33.79830202,-151.0990962,1,0
5.49578E-06,0.874448805,0.882639643,0.699390956,0.17001254,0.175533068,-81.72609279,-122.3409667,118.2536147,-81.71909615,-33.82075106,-151.1261088,1,0
5.49603E-06,0.874283773,0.882464308,0.699409784,0.170061044,0.175492119,-81.7264458,-122.344796,118.2595432,-81.71945963,-33.84417327,-151.1517786,1,0
5.49603E-06,0.874149946,0.882238926,0.699411105,0.170071332,0.175480458,-81.73240346,-122.3531642,118.261993,-81.72545351,-33.85263643,-151.1584347,1,0
0.013708154,0.876353981,0.884088587,0.697417934,0.170868183,0.176088417,-80.85843961,-122.2807164,118.1469708,-80.64124192,-33.74864197,-151.2728547,1,0
0.013708154,0.876353981,0.884088587,0.697417934,0.170868183,0.176088417,-80.85843961,-122.2807164,118.1469708,-80.64124192,-33.74864197,-151.2728547,1,0
0.013708275,0.87636456,0.884088231,0.697423895,0.170866051,0.176088751,-80.85985131,-122.2799044,118.1455763,-80.64263293,-33.74951242,-151.2712124,1,0
0.013708341,0.876367277,0.884088099,0.697427099,0.170864922,0.176089031,-80.86064434,-122.2793673,118.1451647,-80.64339285,-33.7499667,-151.2703454,1,0
0.01370846,0.876352432,0.884088227,0.697432873,0.170862367,0.17608916,-80.86222124,-122.2775615,118.1458549,-80.64493319,-33.75092625,-151.268656,1,0
0.013708804,0.876285204,0.884091623,0.697450053,0.170853895,0.176087675,-80.8667844,-122.2710509,118.1492687,-80.64949807,-33.75424513,-151.2635227,1,0
0.013709473,0.876019894,0.884126431,0.697483783,0.170829174,0.176070825,-80.87580801,-122.2512943,118.1671879,-80.65861181,-33.76454937,-151.2528333,1,0
0.013709849,0.875569376,0.884219034,0.697503355,0.170781132,0.176012065,-80.8824992,-122.2231657,118.2037932,-80.66574159,-33.78357657,-151.2424465,1,0
0.013709754,0.875353176,0.884263043,0.697499213,0.170721855,0.175925131,-80.88334886,-122.2125994,118.2239881,-80.66709099,-33.80513989,-151.2355569,1,0
0.013709579,0.875533622,0.884159671,0.69749086,0.170671987,0.175837293,-80.87794114,-122.2312349,118.2090936,-80.66209191,-33.82426578,-151.2326891,1,0
0.013709556,0.87556289,0.884141555,0.697489701,0.170667204,0.175830417,-80.87789214,-122.2338695,118.2064702,-80.66208196,-33.8257156,-151.2321351,1,0
0.013709556,0.87556289,0.884141555,0.697489701,0.170667204,0.175830417,-80.87789214,-122.2338695,118.2064702,-80.66208196,-33.8257156,-151.2321351,1,0
0.01370955,0.87578036,0.884019715,0.697489235,0.170647183,0.175798981,-80.87662721,-122.2522134,118.1864044,-80.66115358,-33.83211965,-151.2292698,1,0
0.013709548,0.875885886,0.883953464,0.697488986,0.170636988,0.175784477,-80.87660148,-122.2613672,118.1763364,-80.66130282,-33.83495176,-151.2273275,1,0
0.013709612,0.875915804,0.883935762,0.697492144,0.170631045,0.175765969,-80.87360051,-122.2653053,118.1733842,-80.65847722,-33.83846225,-151.2271485,1,0
0.013709068,0.875963418,0.88388584,0.69746409,0.17060666,0.175762981,-80.88211614,-122.2691915,118.1711004,-80.66702101,-33.83630632,-151.2207668,1,0
0.01370828,0.875860263,0.883984503,0.697423546,0.170561493,0.175736626,-80.88975162,-122.2579221,118.1870199,-80.67472532,-33.83671105,-151.2113461,1,0
